Identifier,ARN,Resource type,Region,AWS Account,Application,CfnResourceType,LastReportedAt,Service,Tags,Tag:kubernetes.io/cluster/eks,Tag:kubernetes.io/service-name
aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,arn:aws:iam::990793583275:role/aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
default.memorydb-redis7.search,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-redis7.search,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
aws-service-role/eks-nodegroup.amazonaws.com/AWSServiceRoleForAmazonEKSNodegroup,arn:aws:iam::990793583275:role/aws-service-role/eks-nodegroup.amazonaws.com/AWSServiceRoleForAmazonEKSNodegroup,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
S3AdminAccess,arn:aws:iam::990793583275:instance-profile/S3AdminAccess,iam:instance-profile,global,990793583275,-,AWS::IAM::InstanceProfile,Wed Sep 09 2026 20:39:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
bethings,arn:aws:iam::990793583275:user/bethings,iam:user,global,990793583275,-,AWS::IAM::User,Tue Sep 15 2026 18:52:32 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
k8s-default-internal-61a8fe8a72/640657e0b4203d56,arn:aws:elasticloadbalancing:us-east-1:990793583275:targetgroup/k8s-default-internal-61a8fe8a72/640657e0b4203d56,elasticloadbalancing:targetgroup,us-east-1,990793583275,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:54 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,default/internal-nginx-service
default,arn:aws:elasticache:us-east-1:990793583275:user:default,elasticache:user,us-east-1,990793583275,-,AWS::ElastiCache::User,Sun Sep 13 2026 06:12:37 GMT-0300 (Brasilia Standard Time),elasticache,0,(not tagged),(not tagged)
aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor,arn:aws:iam::990793583275:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
default.memorydb-valkey7,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-valkey7,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
AwsDataCatalog,arn:aws:athena:us-east-1:990793583275:datacatalog/AwsDataCatalog,athena:datacatalog,us-east-1,990793583275,-,AWS::Athena::DataCatalog,Fri Sep 11 2026 19:10:17 GMT-0300 (Brasilia Standard Time),athena,0,(not tagged),(not tagged)
default.memorydb-redis7,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-redis7,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
k8s-default-external-e90c6c6349/134d9226ecb55999,arn:aws:elasticloadbalancing:us-east-1:990793583275:targetgroup/k8s-default-external-e90c6c6349/134d9226ecb55999,elasticloadbalancing:targetgroup,us-east-1,990793583275,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:53 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,default/external-nginx-service
S3AdminAccess,arn:aws:iam::990793583275:role/S3AdminAccess,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
us-east-1/43ccc232-0e49-4818-b3a9-5e53330f6d31,arn:aws:resource-explorer-2:us-east-1:990793583275:view/us-east-1/43ccc232-0e49-4818-b3a9-5e53330f6d31,resource-explorer-2:view,us-east-1,990793583275,-,AWS::ResourceExplorer2::View,Wed Aug 26 2026 08:08:28 GMT-0300 (Brasilia Standard Time),resource-explorer-2,0,(not tagged),(not tagged)
k8s-default-external-cf7b0fedfa/91d847d8a7d0bd63,arn:aws:elasticloadbalancing:us-east-1:990793583275:targetgroup/k8s-default-external-cf7b0fedfa/91d847d8a7d0bd63,elasticloadbalancing:targetgroup,us-east-1,990793583275,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:53 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,default/external-nginx-service
default-account-dashboard,arn:aws:s3:us-east-1:990793583275:storage-lens/default-account-dashboard,s3:storage-lens,us-east-1,990793583275,-,AWS::S3::StorageLens,Sun Sep 13 2026 10:58:14 GMT-0300 (Brasilia Standard Time),s3,0,(not tagged),(not tagged)
aws-service-role/eks.amazonaws.com/AWSServiceRoleForAmazonEKS,arn:aws:iam::990793583275:role/aws-service-role/eks.amazonaws.com/AWSServiceRoleForAmazonEKS,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
k8s-default-internal-4254667711/367c4c07e406f584,arn:aws:elasticloadbalancing:us-east-1:990793583275:targetgroup/k8s-default-internal-4254667711/367c4c07e406f584,elasticloadbalancing:targetgroup,us-east-1,990793583275,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:54 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,default/internal-nginx-service
