Identifier,ARN,Resource type,Region,AWS Account,Application,CfnResourceType,LastReportedAt,Service,Tags,Tag:kubernetes.io/cluster/eks,Tag:kubernetes.io/service-name
aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,arn:aws:iam::000000000001:role/aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
default.memorydb-redis7.search,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-redis7.search,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
aws-service-role/test-resource-004/AWSServiceRoleForAmazonEKSNodegroup,arn:aws:iam::000000000001:role/aws-service-role/test-resource-004/AWSServiceRoleForAmazonEKSNodegroup,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-005,arn:aws:iam::000000000001:instance-profile/test-resource-005,iam:instance-profile,global,000000000002,-,AWS::IAM::InstanceProfile,Wed Sep 09 2026 20:39:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-006,arn:aws:iam::000000000001:user/test-resource-006,iam:user,global,000000000002,-,AWS::IAM::User,Tue Sep 15 2026 18:52:32 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-009/640657test-resource-010,arn:aws:test-resource-007:test-resource-002:000000000001:test-resource-008/test-resource-009/640657test-resource-010,elasticloadbalancing:targetgroup,us-east-1,000000000002,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:54 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,test-resource-011/test-resource-012
test-resource-011,arn:aws:test-resource-013:test-resource-002:000000000001:user:test-resource-011,elasticache:user,us-east-1,000000000002,-,AWS::ElastiCache::User,Sun Sep 13 2026 06:12:37 GMT-0300 (Brasilia Standard Time),elasticache,0,(not tagged),(not tagged)
aws-service-role/test-resource-014/AWSServiceRoleForTrustedAdvisor,arn:aws:iam::000000000001:role/aws-service-role/test-resource-014/AWSServiceRoleForTrustedAdvisor,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
default.memorydb-valkey7,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-valkey7,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
test-resource-017,arn:aws:test-resource-015:test-resource-002:000000000001:test-resource-016/test-resource-017,athena:datacatalog,us-east-1,000000000002,-,AWS::Athena::DataCatalog,Fri Sep 11 2026 19:10:17 GMT-0300 (Brasilia Standard Time),athena,0,(not tagged),(not tagged)
